,SPX Index,LUATTRUU Index,BCOMGC Index,BCOMCO Index,FNER Index,BGCI Index
17/03/2023,3916.64,2258.35,209.6088,416.2836,688.38,1208.6
20/03/2023,3951.57,2250.35,210.6093,420.8657,696.66,1224.68
21/03/2023,4002.87,2236.26,206.2491,429.0562,692.68,1252.26
22/03/2023,3936.97,2256.4,207.1232,436.7313,667.11,1198.47
23/03/2023,3948.72,2264.61,212.0417,431.8628,662.78,1264.71
24/03/2023,3970.99,2266.53,210.82,426.8225,680.53,1230.33
27/03/2023,3977.53,2245.27,207.6393,444.9218,679.27,1185.57
28/03/2023,3971.27,2243.06,209.6299,446.6401,678.29,1224.38
29/03/2023,4027.81,2240.32,209.0085,443.5471,693.63,1259.31
30/03/2023,4050.83,2242.94,210.3987,449.3893,700.79,1237.52
31/03/2023,4109.31,2254.15,209.1875,456.6634,716.07,1267.92
03/04/2023,4124.51,2261.78,210.6831,484.2705,710.03,1258.52
04/04/2023,4100.6,2272.17,214.6642,484.2705,709.53,1274.55
05/04/2023,4090.38,2279.07,214.3903,484.6715,705.97,1286.79
06/04/2023,4105.02,2280.16,213.4214,484.9579,710.72,1268.64
07/04/2023,4105.02,2266.68,213.4214,484.9579,710.72,1268.64
10/04/2023,4109.11,2263.92,211.0412,479.9175,713.86,1290.64
11/04/2023,4108.94,2263.57,212.642,487.8217,716.84,1320.13
12/04/2023,4091.95,2267.21,213.2634,496.8713,712.79,1312.67
13/04/2023,4146.22,2262.41,216.4652,490.7428,709.97,1363.75
14/04/2023,4137.64,2252.19,212.305,491.831,698.56,1388.51
17/04/2023,4151.32,2242.01,211.3782,483.6978,713.56,1380.65
18/04/2023,4154.87,2244.14,212.7158,483.6978,711.88,1396.26
19/04/2023,4154.52,2241.42,211.4098,474.1899,716.29,1331.34
20/04/2023,4129.79,2250.57,212.6526,462.8492,708.35,1281.36
21/04/2023,4133.52,2246.54,209.6404,466.5722,709.59,1233.02
24/04/2023,4137.04,2255.16,210.6199,472.758,706.87,1230.94
25/04/2023,4071.63,2273.42,211.1149,461.6464,700.12,1234.75
26/04/2023,4055.99,2265.47,210.2197,445.1509,693.73,1240.89
27/04/2023,4135.35,2253.09,210.5356,448.0147,708.27,1305.41
28/04/2023,4169.48,2266.23,210.5462,460.1,716.94,1290.85
01/05/2023,4167.87,2245.16,209.8194,454.2578,711.04,1229.15
02/05/2023,4119.58,2267.24,213.0949,431.4046,699.1,1264.34
03/05/2023,4090.75,2278.07,214.5378,414.279,696.81,1252.98
04/05/2023,4061.22,2276.46,216.5073,415.2527,702.63,1264.09
05/05/2023,4136.25,2267.61,213.2529,431.29,713.91,1311.31
08/05/2023,4138.12,2256.93,214.1401,441.0983,709.92,1202.26
09/05/2023,4119.17,2254.47,215.1536,443.7061,706.53,1212.07
10/05/2023,4137.64,2266.82,214.5399,437.9895,713.01,1218.71
11/05/2023,4130.62,2273.02,212.8049,429.2037,705.35,1177.22
12/05/2023,4124.08,2263.93,212.7215,424.0722,705.48,1171.4
15/05/2023,4136.28,2259.07,213.0344,430.6451,703.78,1210.62
16/05/2023,4109.9,2254.07,209.9152,428.9731,685.73,1195.87
17/05/2023,4158.77,2248.66,209.0285,441.1388,694.57,1218.53
18/05/2023,4198.05,2238.3,206.3787,435.7767,690.04,1189.78
19/05/2023,4191.98,2232.13,208.6738,433.528,688.88,1195.6
22/05/2023,4192.63,2230.01,208.1939,435.719,693.05,1193.6
23/05/2023,4145.58,2231.92,207.8914,440.8505,686.37,1210.49
24/05/2023,4115.24,2226.93,206.8795,449.3262,671.74,1171.24
25/05/2023,4151.28,2216.98,204.7096,437.6794,671.4,1179.34
26/05/2023,4205.45,2215.69,204.793,442.5803,679.09,1195.93
29/05/2023,4205.45,2215.69,204.793,442.5803,679.09,1195.93
30/05/2023,4205.52,2232.5,206.2535,424.0145,681.7,1241.99
31/05/2023,4179.83,2239.92,206.7751,417.9604,685.6,1211.47
01/06/2023,4221.02,2244.81,208.173,427.8776,685.52,1208.26
02/06/2023,4282.37,2231.9,205.4711,438.0253,701.74,1230.9
05/06/2023,4273.79,2232.47,205.9614,440.9082,697.04,1157.52
