Dates,BTC Index,ETH Index,BGCI Index,FSTOK10 Index,FSTOK40 Index,SOBLCRTA Index,HODL5 Index
10/05/2022,3510.7,3637.28,1598.44,553.817,288.165,3564.6,7870.6
11/05/2022,3283.02,3273.48,1395.03,571.734,294.732,3383.75,7599.68
12/05/2022,3202.36,2995.95,1323.5,520.169,251.068,3384.79,6779.22
13/05/2022,3359.04,3178.94,1419.42,512.365,242.166,3587.77,7344.74
16/05/2022,3316.24,3108.43,1403.08,557.548,275.384,3490.11,6968.13
17/05/2022,3372.49,3161.62,1428.88,529.918,261.822,3576.21,7135.64
18/05/2022,3271.48,3045.4,1375.09,542.792,270.366,3437.35,6850.4
19/05/2022,3366.4,3091.66,1389.23,507.92,250.223,3444.08,6940.92
20/05/2022,3278.73,3040.63,1361.41,507.92,250.223,3449.56,6853.4
23/05/2022,3272.85,3073.99,1372.08,539.112,263.263,3468.83,7116.21
24/05/2022,3293.64,3033.72,1363.91,519.107,256.187,3330.69,6745.82
25/05/2022,3320.34,3019.77,1363.78,527.433,259.969,3401.46,6888.92
26/05/2022,3289.6,2816.28,1302.29,523.668,258.567,3478.23,6645.8
27/05/2022,3240.67,2721.48,1258.19,507.757,246.123,3615.07,6510.9
30/05/2022,3240.67,2721.48,1258.19,510.386,250.288,3625.51,6930.99
31/05/2022,3550.73,2998.57,1406.07,552.11,271.14,3612.79,7150.77
01/06/2022,3369.23,2806.07,1325.67,549.191,275.847,3536.03,7028.81
02/06/2022,3400.37,2821.57,1330.13,515.112,259.116,3638.44,6691.01
03/06/2022,3318.48,2715.26,1285.79,524.558,266.065,3554.99,6542.07
06/06/2022,3517.35,2870.73,1370.74,514.902,260.872,3572.96,6983.33
07/06/2022,3503.36,2871.71,1359.74,535.465,268.869,3582.53,6591.21
08/06/2022,3380.84,2771.67,1329.12,529.657,266.863,3538.13,6661.54
09/06/2022,3368.97,2763.58,1327.72,516.92,268.398,3433.26,6638.31
10/06/2022,3262.21,2593.35,1253.73,515.649,267.896,3348.47,6475.16
13/06/2022,2620.8,1921.64,968.84,447.168,231.675,3168.93,4823.35
14/06/2022,2490.14,1866.87,951.3,376.622,213.607,3174.7,4909.29
15/06/2022,2430.6,1815.91,956.78,376.622,213.607,3219.94,4612.38
16/06/2022,2351.88,1710.95,904.57,382.192,228.542,3067.83,4602.43
17/06/2022,2305.02,1676.34,897.67,341.803,211.197,3087.93,4542.6
20/06/2022,2305.02,1676.34,897.67,349.603,218.902,3057.97,4742.47
21/06/2022,2341.29,1734.39,940,349.603,218.902,3129.61,4922.22
22/06/2022,2253.11,1651.9,902.19,351.865,224.856,3100.48,4667.35
23/06/2022,2337.4,1742.16,946.26,351.865,224.856,3200.67,4663.94
24/06/2022,2386.38,1911.57,998.49,358.523,227.413,3315.09,4876.88
27/06/2022,2344.36,1857.85,968.23,362.845,233.218,3272.84,4806.68
28/06/2022,2269.36,1789.96,935.35,358.898,231.876,3183.75,4800.2
29/06/2022,2279.6,1729.11,915.67,348.892,223.885,3160.62,4542.92
30/06/2022,2122.38,1577.05,851.65,342.751,224.452,3101.65,4270.21
01/07/2022,2175.9,1655.65,877.19,336.956,220.875,3131.28,4329.38
04/07/2022,2175.9,1655.65,877.19,331.516,221.157,3123.59,4427.2
05/07/2022,2299.81,1786.79,929.5,349.072,226.631,3262.29,4380.92
06/07/2022,2278.28,1786.96,931.4,347.15,223.108,3263.19,4555.37
07/07/2022,2431.98,1919.83,1000.28,355.782,225.855,3367.79,4756.25
08/07/2022,2444.86,1916.1,995.93,372.533,230.851,3359.19,4851.39
11/07/2022,2301.76,1767.12,929.82,357.579,224.939,3294.19,4549.26
12/07/2022,2179.52,1611.09,870.23,340.928,214.686,3285.86,4397.77
13/07/2022,2207.18,1666.85,886.65,328.797,209.936,3246.77,4316.46
14/07/2022,2308.55,1845.79,958.7,345.678,215.279,3257.44,4401.34
15/07/2022,2368.82,1958.44,995.06,356.25,218.463,3321.09,4726.32
18/07/2022,2421.11,2271.09,1080.9,370.335,221.858,3303.09,5229.28
19/07/2022,2613.83,2411.71,1164.38,409.154,237.404,3430.89,5398.52
20/07/2022,2625.3,2371.77,1154.48,417.627,242.326,3553.39,5651.91
21/07/2022,2605.99,2456.19,1153.32,412.659,235.626,3586.97,5246.03
22/07/2022,2539,2362.51,1117.35,416.749,239.853,3484.8,5544.13
25/07/2022,2479.37,2342.71,1082.55,411.667,238.722,3469.59,5145.8
26/07/2022,2346.61,2122.5,1011.11,383.967,225.775,3388.38,4836.64
27/07/2022,2554.12,2464.94,1140.5,382.69,226.575,3537.11,5029.9
28/07/2022,2676.18,2682.21,1219.42,418.74,241.488,3595.62,5493.36
29/07/2022,2680.8,2673.32,1224.7,418.74,241.488,3610.39,5755.31
01/08/2022,2577.36,2507.65,1171.46,418.74,241.488,3589.41,5687.75
02/08/2022,2577.16,2540.65,1173.84,425.086,247.75,3654.04,5515.9
03/08/2022,2627.77,2557.75,1192.48,420.618,242.775,3819.39,5588.39
04/08/2022,2524.01,2469.85,1145.78,419.337,242.971,3853.39,5498.74
05/08/2022,2569.33,2592.34,1189.59,417.436,244.035,3854.44,5652.59
08/08/2022,2685.35,2762.81,1260.98,431.499,252.751,3843.6,5965.21
09/08/2022,2590.97,2616.63,1202.82,444.544,255.706,3746.92,5664.52
10/08/2022,2655.39,2820.38,1261.64,431.519,249.397,3823.67,6034.7
11/08/2022,2710.28,2930.38,1297.14,451.861,256.413,3759.07,6133.26
12/08/2022,2710.67,2977.73,1309.57,453.612,256.324,3905.33,6007.11
15/08/2022,2693.84,2931.37,1292.13,460.946,267.222,3933.82,6015.92
16/08/2022,2687.57,2911.04,1285.44,456.511,262.903,3920.98,5912.38
17/08/2022,2608.65,2841.38,1248.21,451.597,266.315,3842.28,5765.37
18/08/2022,2620.41,2895.63,1254.78,441.242,259.936,3853.35,5818.31
19/08/2022,2395.78,2633.67,1138.95,439.61,251.868,3747.44,5268.98
22/08/2022,2367.18,2439.86,1083.34,439.61,251.868,3688.08,5091.73
23/08/2022,2417.34,2559.85,1126.49,402.613,235.683,3667.97,5247.07
24/08/2022,2435.65,2597.54,1141.39,406.994,238.908,3689.68,5255.72
25/08/2022,2422.95,2639.07,1143.09,404.662,238.264,3771.01,5347.45
26/08/2022,2323.59,2421.39,1069.12,410.31,240.606,3588.85,5176.82
29/08/2022,2259.44,2380.84,1047.17,365.336,223.59,3565.67,4904.6
30/08/2022,2233.96,2376.62,1048.05,383.186,231.798,3556.11,4848.53
31/08/2022,2269.38,2437.79,1065.93,374.608,229.217,3525.88,4939.78
01/09/2022,2236.23,2431.81,1053.33,379.384,229.94,3537.44,4822.94
02/09/2022,2232.83,2410.06,1056.53,382.881,232.246,3448.07,5072.6
05/09/2022,2232.83,2410.06,1056.53,380.921,237.696,3484.12,4966.61
06/09/2022,2110.68,2426.41,1036.93,381.658,238.618,3467.38,5044.92
07/09/2022,2133.04,2432.74,1045.45,364.369,226.726,3538.2,4758.81
08/09/2022,2174.98,2554.14,1077.61,376.622,233.009,3593.21,4935.47
09/09/2022,2384.6,2660.24,1149.32,377.838,234.807,3659.68,5296.08
12/09/2022,2515.55,2670.83,1182.99,416.666,244.204,3668.23,5479.69
13/09/2022,2276.55,2490.11,1086.12,420.012,243.204,3515.47,5098.81
14/09/2022,2239.67,2473.22,1077.63,384.416,231.277,3543.55,5010.35
15/09/2022,2225.28,2329.86,1047.74,388.075,234.699,3504.94,4804.5
16/09/2022,2205.58,2216.38,1021.56,369.159,229.239,3398.76,4747.45
19/09/2022,2187.37,2108.1,994.43,356.634,221.504,3403.1,4570.44
20/09/2022,2137.09,2094.38,974.65,362.264,224.769,3344.68,4540.96
21/09/2022,2133.91,2047.35,970.84,362.264,224.769,3340.2,4542.7
22/09/2022,2169.25,2056.9,984.52,341.491,217.717,3296,4433.77
23/09/2022,2116.93,2010.67,960.83,360.34,227.068,3284.64,4417.09
26/09/2022,2150.83,2055.47,984.02,351.136,221.794,3251.72,4549.64
27/09/2022,2138.7,2044.99,975.2,358.37,222.563,3267.95,4768.21
28/09/2022,2192.58,2070.88,989.33,355.838,221.347,3359.35,4565.84
29/09/2022,2178.59,2065.71,985.47,360.802,220.146,3224.81,4539.49
30/09/2022,2183.54,2072.67,989.17,363.654,221.459,3194.12,4699.31
03/10/2022,2194.29,2040.38,979.85,352.206,215.578,3258.75,4561.64
04/10/2022,2265.76,2095.17,1011.03,362.922,219.295,3366.99,4700.89
05/10/2022,2261.56,2092.33,1008.32,375.28,223.921,3386.76,4622.33
